Size;Time(ms);Comparisons
100;0.21464;236
200;0.55906;475
300;0.78926;708
400;0.79134;933
500;0.98318;1171
600;1.32768;1424
700;янв.45;1675
800;1.84402;1930
900;2.11106;2167
1000;2.318;2403
1100;2.35978;2641
1200;2.699;2883
1300;фев.32;3131
1400;3.24618;3378
1500;3.24204;3616
1600;3.56318;3860
1700;3.66512;4098
1800;3.90916;4337
1900;апр.56;4601
2000;4.64488;4837
2100;4.77798;5090
2200;4.93502;5333
2300;5.00646;5574
2400;5.66834;5819
2500;6.41576;6057
2600;6.21454;6297
2700;6.64402;6539
2800;6.21316;6781
2900;6.53452;7019
3000;6.73152;7267
