Size;Time(ms);Comparisons
100;0.3382;177
200;0.63106;396
300;0.80982;608
400;0.99054;823
500;1.10578;1037
600;1.38304;1259
700;янв.13;1485
800;1.977;1709
900;1.64422;1944
1000;2.36532;2173
1100;2.23204;2404
1200;2.27852;2640
1300;2.82638;2872
1400;3.01402;3111
1500;3.06508;3359
1600;5.0813;3616
1700;мар.09;3852
1800;3.90252;4098
1900;4.11492;4352
2000;4.15298;4602
2100;4.77568;4854
2200;5.20632;5120
2300;6.49644;5382
2400;5.89296;5637
2500;6.95038;5900
2600;8.89608;6164
2700;9.01802;6424
2800;окт.68;6710
2900;9.49736;6993
3000;10.014;7267
