Size;Time(ms);Comparisons
100;0.29544;248
200;0.50582;486
300;0.77658;726
400;0.9948;968
500;1.23004;1209
600;1.50286;1447
700;1.72214;1692
800;1.97166;1933
900;2.22702;2176
1000;2.47982;2429
1100;2.69742;2663
1200;2.86938;2927
1300;3.06002;3165
1400;3.37036;3404
1500;3.37184;3646
1600;3.32446;3887
1700;3.73136;4134
1800;3.74356;4381
1900;4.39052;4624
2000;5.0546;4862
2100;4.82458;5098
2200;5.14988;5334
2300;לאי.44;5590
2400;5.80218;5840
2500;5.68552;6092
2600;ט‏ם.93;6332
2700;6.81628;6557
2800;6.76684;6792
2900;ט‏כ.55;7031
3000;ט‏כ.31;7267
