Size;Time(ms);Comparisons
100;0.03688;30069
200;0.0628;70049
300;0.09266;110473
400;0.11782;128362
500;0.14492;154481
600;0.17876;189931
700;0.21722;236059
800;0.24256;271188
900;0.27732;306295
1000;0.34642;337569
1100;0.36388;364585
1200;0.48252;391497
1300;0.49198;434551
1400;0.48128;460012
1500;0.5181;498941
1600;0.5379;537471
1700;0.57286;580084
1800;0.6349;610389
1900;0.7141;636200
2000;0.71232;692447
2100;0.77;728856
2200;0.88926;760327
2300;0.92036;796211
2400;0.86376;836746
2500;0.91306;870494
2600;0.87634;909757
2700;0.83444;948939
2800;0.97082;974940
2900;0.93966;1017209
3000;0.9506;1051421
