Size;Time(ms);Comparisons
100;0.04258;4931
200;0.07104;18360
300;0.10216;37820
400;0.12832;61122
500;0.1837;90957
600;0.22864;124439
700;0.25528;168089
800;0.2933;218667
900;0.33904;256046
1000;0.37818;303554
1100;0.41914;357960
1200;0.4345;405391
1300;0.47794;464272
1400;0.53764;518602
1500;0.56194;577796
1600;0.6227;621472
1700;0.69036;696098
1800;0.76282;750278
1900;0.80882;781705
2000;0.86512;840871
2100;0.88336;891827
2200;0.93146;953934
2300;0.94826;974900
2400;0.93056;1022291
2500;0.9214;1121925
2600;1.0495;1174270
2700;1.06182;1227359
2800;1.09306;1251988
2900;1.15466;1307084
3000;1.12374;1348746
