Size;Time(ms);Comparisons
100;0.0381;29409
200;0.06272;66535
300;0.0932;88542
400;0.11572;116501
500;0.13926;147348
600;0.1654;176851
700;0.21334;214869
800;0.23138;248996
900;0.25772;282369
1000;0.29378;313562
1100;0.32172;347054
1200;0.37516;371817
1300;0.4309;402789
1400;0.45104;440379
1500;0.49488;479443
1600;0.53326;506275
1700;0.60402;534620
1800;0.65142;565921
1900;0.59024;595971
2000;0.60512;622039
2100;0.63062;657159
2200;0.85038;693332
2300;1.11354;716914
2400;0.85584;751423
2500;0.89892;786611
2600;0.84854;812522
2700;1.03918;840541
2800;0.98636;882059
2900;0.95534;913201
3000;1.16968;947899
