Size;Time(ms);Comparisons
100;0.01356;28599
200;0.0248;59827
300;0.04462;124579
400;0.05664;163961
500;0.08;239227
600;0.09476;300254
700;0.11174;352135
800;0.1325;395772
900;0.17192;550525
1000;0.20014;564371
1100;0.20792;649010
1200;0.2231;664307
1300;0.247;671752
1400;0.31024;769598
1500;0.3147;785853
1600;0.32254;903337
1700;0.36952;919665
1800;0.44262;1197230
1900;0.4643;1146862
2000;0.49;1313059
2100;0.50722;1385580
2200;0.5334;1417234
2300;0.56852;1486263
2400;0.59528;1523175
2500;0.57086;1565395
2600;0.58774;1636647
2700;0.62102;1767871
2800;0.60132;1777807
2900;0.60918;1804982
3000;0.60936;1815945
