Size;Time(ms);Comparisons
100;0.02094;39675
200;0.0413;99251
300;0.06996;170018
400;0.09738;240970
500;0.12726;331329
600;0.15336;392945
700;0.1925;473368
800;0.25828;543879
900;0.28554;665676
1000;0.35266;735991
1100;0.33464;796312
1200;0.375;856040
1300;0.42794;929201
1400;0.48072;1018096
1500;0.5057;1091828
1600;0.49796;1178600
1700;0.53014;1249167
1800;0.58864;1415767
1900;0.64292;1493069
2000;0.74804;1567499
2100;0.69648;1646691
2200;0.69576;1707658
2300;0.77902;1799205
2400;0.80808;1875382
2500;0.89796;1960244
2600;0.99036;2032366
2700;0.95518;2151659
2800;0.96718;2237989
2900;1.03934;2310007
3000;1.04402;2388993
