Size;Time(ms);Comparisons
100;0.0134;19247
200;0.02574;50787
300;0.04086;71326
400;0.05774;111252
500;0.07098;144821
600;0.0872;154104
700;0.09866;208504
800;0.11742;248776
900;0.14422;295866
1000;0.15722;307358
1100;0.19236;363647
1200;0.22242;403672
1300;0.22662;418626
1400;0.262;480518
1500;0.28788;504055
1600;0.30026;532552
1700;0.34006;578162
1800;0.35458;670859
1900;0.39396;722788
2000;0.39472;704568
2100;0.45066;723676
2200;0.42282;746239
2300;0.45068;840448
2400;0.46236;795573
2500;0.47904;960167
2600;0.48364;1010288
2700;0.50878;1050677
2800;0.49896;1120222
2900;0.5156;1104922
3000;0.53604;1156451
