Size;Time(ms);Comparisons
100;0.01324;43217
200;0.03;103219
300;0.05002;201153
400;0.06432;261916
500;0.07802;315212
600;0.12686;498405
700;0.20244;678221
800;0.25436;827377
900;0.29712;1005250
1000;0.3943;1330993
1100;0.47918;1618516
1200;0.58528;1768755
1300;0.64606;1909620
1400;0.68578;2243173
1500;0.7955;2306560
1600;0.8565;2640590
1700;0.96876;2813771
1800;0.91172;3078609
1900;1.10722;3503815
2000;1.12678;3544349
2100;1.24376;3993825
2200;1.31524;4075053
2300;1.48366;4520454
2400;1.55562;4704980
2500;1.59922;4702079
2600;1.62068;5207387
2700;1.66938;5036032
2800;1.96416;5530911
2900;0.77208;2911169
3000;0.81248;2970398
