Size;Time(ms);Comparisons
100;0.01802;49271
200;0.0393;126952
300;0.06252;197566
400;0.09078;298938
500;0.14302;422381
600;0.15022;533048
700;0.20686;617063
800;0.19916;724685
900;0.2479;815639
1000;0.25582;891990
1100;0.30558;1061258
1200;0.38756;1132686
1300;0.43884;1191153
1400;0.51866;1334142
1500;0.49002;1427831
1600;0.5312;1616729
1700;0.58766;1692638
1800;0.58748;1814097
1900;0.60052;1924614
2000;0.73986;1973736
2100;0.67242;2110787
2200;0.75348;1998907
2300;0.72014;2308894
2400;0.84446;2411370
2500;0.98496;2514824
2600;0.98428;2823865
2700;0.8903;2566546
2800;0.9678;2927675
2900;0.97392;2892253
3000;1.0026;2946725
