Size;Time(ms);Comparisons
100;0.01138;39143
200;0.02378;106323
300;0.04008;176109
400;0.0537;228370
500;0.06802;250837
600;0.08936;356699
700;0.10458;443138
800;0.11974;435534
900;0.1318;511724
1000;0.17558;523605
1100;0.22472;733502
1200;0.2094;774294
1300;0.22504;914516
1400;0.2388;927419
1500;0.27634;897484
1600;0.31736;1022946
1700;0.33488;1176019
1800;0.3452;1141477
1900;0.3926;1271964
2000;0.3721;1207233
2100;0.38264;1409778
2200;0.43444;1618493
2300;0.46908;1813604
2400;0.48442;1669987
2500;0.51256;1853941
2600;0.52576;1920985
2700;0.53938;1931959
2800;0.58342;2058183
2900;0.60334;2248872
3000;0.66886;1964874
