Size;Time(ms);Comparisons
100;0.104;603
200;0.2007;1329
300;0.33476;2176
400;0.4728;3000
500;0.62504;3983
600;0.81806;5016
700;0.97188;6039
800;1.22116;7095
900;1.29602;8215
1000;1.44476;9226
1100;2.02392;10093
1200;ÿםג.35;10670
1300;1.91788;11526
1400;2.08772;12720
1500;2.594;13979
1600;2.49724;14910
1700;2.63574;15844
1800;2.86112;17279
1900;לאנ.63;18322
2000;4.76914;19834
2100;3.75738;21025
2200;3.69696;21972
2300;לאנ.99;22737
2400;4.01992;23718
2500;4.55672;24782
2600;4.47088;25669
2700;5.41168;26893
2800;5.69854;28029
2900;5.38362;29197
3000;5.75496;29818
