Size;Time(ms);Comparisons
100;0.1202;594
200;0.2521;1485
300;0.53832;2501
400;0.662;3633
500;1.36842;4825
600;0.95296;6110
700;1.12652;7429
800;1.34564;8770
900;1.63244;10191
1000;янв.65;11558
1100;2.12478;13046
1200;2.38014;14551
1300;2.41422;16088
1400;2.61378;17585
1500;2.97868;19140
1600;2.87462;20715
1700;3.16552;22299
1800;мар.51;23929
1900;3.58442;25555
2000;6.73218;27124
2100;5.24896;28908
2200;4.62826;30550
2300;4.83742;32272
2400;апр.64;34010
2500;5.23792;35678
2600;5.74636;37479
2700;6.01362;39284
2800;6.44672;40983
2900;6.75506;42785
3000;6.73318;44589
