Size;Time(ms);Comparisons
100;0.10988;685
200;0.23486;1493
300;0.42842;2275
400;0.59508;3196
500;0.77188;3852
600;1.03044;4858
700;1.0649;5891
800;янв.95;6748
900;1.54144;7515
1000;1.68358;8230
1100;2.07648;9416
1200;2.1108;10414
1300;2.349;11431
1400;2.53288;12584
1500;2.69518;13393
1600;2.96286;14272
1700;мар.57;15198
1800;мар.21;15958
1900;3.49506;16839
2000;мар.46;17507
2100;4.21774;18372
2200;4.13884;19863
2300;4.10048;21070
2400;4.45328;22095
2500;апр.52;23213
2600;5.19298;24218
2700;5.72408;25338
2800;6.05726;26348
2900;5.60636;27345
3000;6.18526;28273
