Size;Time(ms);Comparisons
100;0.04574;179
200;0.05494;279
300;0.07272;380
400;0.09318;485
500;0.0984;575
600;0.11982;689
700;0.14276;788
800;0.15082;882
900;0.1722;987
1000;0.18252;1091
1100;0.20544;1187
1200;0.22684;1284
1300;0.2502;1372
1400;0.27964;1482
1500;0.28928;1587
1600;0.32168;1697
1700;0.34268;1789
1800;0.3635;1890
1900;0.37386;1989
2000;0.41284;2086
2100;0.36642;2191
2200;0.39342;2293
2300;0.51478;2390
2400;0.4457;2479
2500;0.44058;2589
2600;0.4699;2686
2700;0.56598;2790
2800;0.53856;2894
2900;0.66138;2985
3000;0.62796;3082
