Size;Time(ms);Comparisons
100;0.4306;104
200;0.05468;208
300;0.076;315
400;0.07736;410
500;0.09012;516
600;0.10386;618
700;0.16688;723
800;0.13898;831
900;0.21508;929
1000;0.19636;1032
1100;0.21422;1133
1200;0.25986;1241
1300;0.31244;1337
1400;0.4234;1435
1500;0.39166;1549
1600;0.44172;1641
1700;0.36526;1751
1800;0.48356;1853
1900;0.4148;1966
2000;0.3804;2061
2100;0.48924;2169
2200;0.50208;2262
2300;0.5424;2362
2400;0.45002;2462
2500;0.51486;2567
2600;0.6654;2669
2700;0.8856;2788
2800;0.77346;2879
2900;0.732;2998
3000;0.67896;3071
