Size;Time(ms);Comparisons
100;0.05706;186
200;0.06652;285
300;0.08052;384
400;0.10462;492
500;0.11644;590
600;0.13286;693
700;0.18166;795
800;0.1752;883
900;0.20388;986
1000;0.1891;1087
1100;0.24654;1191
1200;0.22668;1285
1300;0.24312;1395
1400;0.30338;1487
1500;0.30756;1585
1600;0.34618;1686
1700;0.36354;1784
1800;0.3599;1895
1900;0.44196;1995
2000;0.41454;2084
2100;0.51978;2188
2200;0.51318;2291
2300;0.45274;2384
2400;0.47106;2500
2500;0.45838;2587
2600;0.48374;2686
2700;0.52602;2783
2800;0.62554;2889
2900;0.67678;2997
3000;0.62512;3088
